Date,BTC,DOGE,ETH,LTC
4/6/2016,423.4129944,0.000216474,16997100,3.255929947
4/7/2016,422.7449951,0.000211692,13464500,3.245320082
4/8/2016,420.348999,0.000210978,14660600,3.220269918
4/9/2016,419.4110107,0.000207701,16194800,3.216200113
4/10/2016,421.5639954,0.000204199,42613400,3.226989985
4/11/2016,422.4830017,0.000214301,15138100,3.241770029
4/12/2016,425.1900024,0.000229271,23190100,3.257319927
4/13/2016,423.7340088,0.000234482,31403300,3.238859892
4/14/2016,424.2820129,0.00023015,13590700,3.239609957
4/15/2016,429.7130127,0.000232586,12179000,3.278830051
4/16/2016,430.571991,0.000230168,9888460,3.273819923
4/17/2016,427.3989868,0.000226472,24619600,3.257770061
4/18/2016,428.5910034,0.000224585,21084100,3.240390062
4/19/2016,435.5090027,0.00022162,12899100,3.285170078
4/20/2016,441.3890076,0.000226153,15634700,3.278379917
4/21/2016,449.4249878,0.000226439,13355400,3.346400023
4/22/2016,445.7369995,0.000223685,13309300,3.319269896
4/23/2016,450.2820129,0.000223588,14565200,3.334470034
4/24/2016,458.5549927,0.000226673,10786400,3.631829977
4/25/2016,461.4259949,0.000227371,18239900,3.811719894
4/26/2016,466.0889893,0.000230016,17667300,4.045800209
4/27/2016,444.6870117,0.000223704,19254500,3.889709949
4/28/2016,449.0109863,0.000227532,11576000,3.788500071
4/29/2016,455.0969849,0.000226266,8762080,3.813600063
4/30/2016,448.3179932,0.000225532,36573300,3.659749985
5/1/2016,451.875,0.000226102,16713800,3.705199957
5/2/2016,444.6690063,0.000228984,41019200,3.680310011
5/3/2016,450.3039856,0.00022759,21463900,3.740910053
5/4/2016,446.7219849,0.00022517,17622400,3.746789932
5/5/2016,447.9760132,0.000221104,18296200,3.713850021
5/6/2016,459.6029968,0.00022459,21510600,3.822109938
5/7/2016,458.5360107,0.000222771,10806500,3.953449965
5/8/2016,458.5480042,0.000222309,15031000,3.938139915
5/9/2016,460.4830017,0.000223569,13085300,4.056429863
5/10/2016,450.894989,0.000219869,9321790,3.819149971
5/11/2016,452.7279968,0.000224077,15267500,3.882270098
5/12/2016,454.7659912,0.000235389,24137700,3.856800079
5/13/2016,455.6700134,0.000235892,31276900,3.925679922
5/14/2016,455.67099,0.000231428,18808000,4.010119915
5/15/2016,457.5679932,0.000230913,9218400,4.063119888
5/16/2016,454.1629944,0.000229013,29079900,4.006529808
5/17/2016,453.7829895,0.000226087,37198700,3.983129978
5/18/2016,454.618988,0.000227971,65389900,4.003220081
5/19/2016,438.7149963,0.000225137,53757500,3.833389997
5/20/2016,442.6759949,0.000227861,50544100,3.881010056
5/21/2016,443.1879883,0.000226426,24648400,3.954489946
5/22/2016,439.322998,0.000224338,17938900,3.929699898
5/23/2016,444.1549988,0.000225129,23842800,3.968189955
5/24/2016,445.9809875,0.000224255,41560600,3.951410055
5/25/2016,449.598999,0.000224294,27444700,4.045660019
5/26/2016,453.3840027,0.000228128,20764000,4.08246994
5/27/2016,473.4639893,0.000229745,57496400,4.501329899
5/28/2016,530.039978,0.000236796,47274800,4.700679779
5/29/2016,526.2329712,0.000237908,28598400,4.609620094
5/30/2016,533.8640137,0.000238417,14733800,4.670869827
5/31/2016,531.3859863,0.00023128,42433400,4.650390148
6/1/2016,536.9199829,0.000233578,22471300,4.740990162
6/2/2016,537.9719849,0.000230459,10477200,4.71505022
6/3/2016,569.1939697,0.000237946,22981500,4.86097002
6/4/2016,572.7269897,0.00023655,15792400,4.808040142
6/5/2016,574.9769897,0.000236611,11088400,4.81291008
6/6/2016,585.5369873,0.000235529,8720400,4.959159851
6/7/2016,576.5969849,0.000239545,21421600,4.770780087
6/8/2016,581.6450195,0.000245646,16941800,4.748169899
6/9/2016,574.6300049,0.000265293,8256830,4.693120003
6/10/2016,577.4699707,0.000260458,11312900,4.840000153
6/11/2016,606.7269897,0.000252743,12176500,5.013979912
6/12/2016,672.7839966,0.000270211,38210300,5.333580017
6/13/2016,704.3759766,0.000297835,38023400,5.29031992
6/14/2016,685.559021,0.000319725,64412200,5.204020023
6/15/2016,694.4689941,0.000312602,19393400,5.239779949
6/16/2016,766.3079834,0.000334664,38531000,5.660789967
6/17/2016,748.9089966,0.000321167,199408000,5.593269825
6/18/2016,756.2269897,0.000324366,133937000,5.559949875
6/19/2016,763.7810059,0.000338073,69783600,5.593780041
6/20/2016,737.2260132,0.000323233,58143600,5.294539928
6/21/2016,666.6519775,0.000307247,69245600,4.821750164
6/22/2016,596.1160278,0.000265731,96994096,3.910700083
6/23/2016,623.9769897,0.000279926,30806400,3.850509882
6/24/2016,665.2990112,0.000281366,33332900,4.279099941
6/25/2016,665.1229858,0.000283651,15383100,4.233069897
6/26/2016,629.3670044,0.000284892,14747600,4.074309826
6/27/2016,655.2750244,0.000288071,10994700,4.119850159
6/28/2016,647.0009766,0.000301306,43436600,4.100659847
6/29/2016,639.8900146,0.000295862,26982800,4.061880112
6/30/2016,673.3369751,0.000304281,15801300,4.193500042
7/1/2016,676.2960205,0.000302051,17236500,4.255970001
7/2/2016,703.7020264,0.000306268,8987070,4.589920044
7/3/2016,658.6640015,0.000282217,10588700,4.253290176
7/4/2016,683.6619873,0.000289348,12943500,4.540559769
7/5/2016,670.6270142,0.000287367,45526900,4.452280045
7/6/2016,677.3309937,0.000283728,18137300,4.468220234
7/7/2016,640.5620117,0.000274594,15407200,4.111879826
7/8/2016,666.5230103,0.000277445,20039800,4.219910145
7/9/2016,650.960022,0.000270315,17254800,4.163070202
7/10/2016,649.3599854,0.000272126,5479240,4.099830151
7/11/2016,647.6589966,0.000266849,13098000,4.085440159
7/12/2016,664.5510254,0.000265492,11127700,4.153279781
7/13/2016,654.4680176,0.000262525,6715660,4.138549805
7/14/2016,658.0780029,0.000262081,23621900,4.148459911
7/15/2016,663.2550049,0.000264057,26838900,4.159770012
7/16/2016,660.7670288,0.00026209,10445700,4.132669926
7/17/2016,679.4589844,0.000263062,17921600,4.189889908
7/18/2016,673.1060181,0.000252348,15931900,4.148220062
7/19/2016,672.8640137,0.00024512,21730000,4.149159908
7/20/2016,665.6849976,0.000243511,60226100,4.125060081
7/21/2016,665.0120239,0.000237462,24636900,4.120230198
7/22/2016,650.6190186,0.000237191,74779504,4.038290024
7/23/2016,655.5560303,0.000250653,32489700,4.05700016
7/24/2016,661.2849731,0.000248994,77750800,4.070670128
7/25/2016,654.0969849,0.00024544,36673800,4.032040119
7/26/2016,651.7839966,0.000239749,94428800,3.970240116
7/27/2016,654.3519897,0.000236956,58278800,3.95588994
7/28/2016,655.0349731,0.000238,24603900,3.967740059
7/29/2016,656.9920044,0.000237517,14082300,4.077439785
7/30/2016,655.0469971,0.000238604,9047810,4.061810017
7/31/2016,624.6810303,0.000230459,25441400,4.013820171
8/1/2016,606.2719727,0.000223013,23999500,3.86342001
8/2/2016,547.4650269,0.000205658,88803296,3.639580011
8/3/2016,566.3549805,0.000214071,53979400,3.719229937
8/4/2016,578.2890015,0.000214621,38151400,3.748450041
8/5/2016,575.0430298,0.000217781,15487900,3.729039907
8/6/2016,587.7780151,0.000231318,16712600,3.760179996
8/7/2016,592.6900024,0.000263683,16551000,3.780319929
8/8/2016,591.0540161,0.000236832,14956700,3.785510063
8/9/2016,587.8010254,0.000236527,36656600,3.759749889
8/10/2016,592.1030273,0.000238686,28096300,3.722419977
8/11/2016,589.1199951,0.000234973,17505000,3.742170095
8/12/2016,587.559021,0.000239099,13690100,3.709350109
8/13/2016,585.5880127,0.000238762,7539490,3.714410067
8/14/2016,570.4730225,0.000244801,8680160,3.650209904
8/15/2016,567.2399902,0.000238369,7500840,3.577080011
8/16/2016,577.4390259,0.000258418,7051510,3.637720108
8/17/2016,573.2160034,0.000246971,8833760,3.599440098
8/18/2016,574.3179932,0.00024715,6935800,3.607120037
8/19/2016,575.6300049,0.00023269,5390850,3.604089975
8/20/2016,581.6970215,0.000238178,7443540,3.615560055
8/21/2016,581.3079834,0.000231564,4355660,3.615070105
8/22/2016,586.7529907,0.000229018,6588920,3.657259941
8/23/2016,583.414978,0.00022731,6489380,3.930730104
8/24/2016,580.1820068,0.00023097,4423420,3.855050087
8/25/2016,577.7609863,0.000229429,8552380,3.802069902
8/26/2016,579.651001,0.000231181,5857850,3.826380014
8/27/2016,569.9470215,0.000224128,15108400,3.736769915
8/28/2016,573.9119873,0.000229294,5303040,3.739830017
8/29/2016,574.1069946,0.000225365,8130540,3.759520054
8/30/2016,577.5029907,0.000233264,7221260,3.804059982
8/31/2016,575.4719849,0.000235063,11073700,3.797440052
9/1/2016,572.3029785,0.000231939,24051500,3.832010031
9/2/2016,575.5369873,0.000234958,9368300,3.824569941
9/3/2016,598.2119751,0.000236362,13358800,3.888750076
9/4/2016,608.6339722,0.000235403,7220550,4.01444006
9/5/2016,606.5900269,0.000236252,5724100,3.979190111
9/6/2016,610.4359741,0.000240823,6346330,3.972359896
9/7/2016,614.5440063,0.000242023,6115050,3.969880104
9/8/2016,626.315979,0.000227986,11535000,3.988339901
9/9/2016,622.8610229,0.00023038,6109200,3.969990015
9/10/2016,623.5089722,0.000227437,7220300,3.968980074
9/11/2016,606.7189941,0.000226268,8791180,3.855449915
9/12/2016,608.242981,0.000226129,7478080,3.823189974
9/13/2016,609.2410278,0.000225249,11704300,3.82171011
9/14/2016,610.684021,0.000225513,5694820,3.832159996
9/15/2016,607.1550293,0.000233186,7309090,3.811919928
9/16/2016,606.9730225,0.000250482,17421500,3.806190014
9/17/2016,605.9840088,0.000236403,7446610,3.805419922
9/18/2016,609.8740234,0.000240025,22433300,4.043399811
9/19/2016,609.2269897,0.000235508,13838800,3.831160069
9/20/2016,608.3120117,0.000232174,31929100,3.842070103
9/21/2016,597.1489868,0.000231322,28645000,3.84036994
9/22/2016,596.2979736,0.00022751,27382800,3.767570019
9/23/2016,602.84198,0.000224348,9166430,3.81291008
9/24/2016,602.625,0.00022627,9824880,3.805140018
9/25/2016,600.8259888,0.000224589,5283440,3.808379889
9/26/2016,608.0430298,0.00022919,7213070,3.858740091
9/27/2016,606.1660156,0.000227515,6831070,3.852240086
9/28/2016,604.7280273,0.000228644,10239000,3.837610006
9/29/2016,605.6929932,0.000230549,5990630,3.845609903
9/30/2016,609.7349854,0.000234938,5950840,3.841599941
10/1/2016,613.9829712,0.000233013,6331160,3.849220037
10/2/2016,610.8920288,0.000230258,4079660,3.842309952
10/3/2016,612.1329956,0.000233633,7458320,3.837970018
10/4/2016,610.2039795,0.000229195,8348280,3.823029995
10/5/2016,612.5109863,0.000233063,9881370,3.843130112
10/6/2016,613.0209961,0.000223193,12044800,3.846539974
10/7/2016,617.1209717,0.00022756,8933050,3.862289906
10/8/2016,619.1079712,0.000225428,11611200,3.838049889
10/9/2016,616.7520142,0.000227998,7208480,3.815129995
10/10/2016,618.9940186,0.000227713,10809200,3.795170069
10/11/2016,641.0720215,0.000230159,11727700,3.816329956
10/12/2016,636.1920166,0.000225228,9694640,3.758510113
10/13/2016,636.7860107,0.000226744,8665190,3.906569958
10/14/2016,640.3779907,0.000226615,4333510,3.897599936
10/15/2016,638.6459961,0.000224415,4991840,3.872430086
10/16/2016,641.6309814,0.000222646,3617280,3.885449886
10/17/2016,639.1929932,0.00022088,5724440,3.910480022
10/18/2016,637.960022,0.000221034,18864200,3.839580059
10/19/2016,630.5200195,0.000218594,10576200,3.804140091
10/20/2016,630.8569946,0.000221065,8170760,3.779000044
10/21/2016,632.8280029,0.000218363,5676920,3.805459976
10/22/2016,657.2940063,0.000223237,7583820,3.8854599
10/23/2016,657.0709839,0.00022137,5774660,3.917779922
10/24/2016,653.7609863,0.000218913,5739690,3.868860006
10/25/2016,657.5880127,0.000219335,19316000,3.904409885
10/26/2016,678.3040161,0.000216089,10221800,3.960289955
10/27/2016,688.3129883,0.000217059,13255400,4.021500111
10/28/2016,689.651001,0.000216135,13971500,3.97322011
10/29/2016,714.4790039,0.000222918,27070400,4.090310097
10/30/2016,701.8640137,0.000223492,16694900,4.034009933
10/31/2016,700.9719849,0.000220261,13393900,3.993959904
11/1/2016,729.7930298,0.000220988,22901300,4.088329792
11/2/2016,740.8289795,0.000220111,11691700,4.104499817
11/3/2016,688.7000122,0.000217184,15228600,3.861330032
11/4/2016,703.2349854,0.000219455,9958040,3.878890038
11/5/2016,703.4180298,0.000222243,5502670,3.86668992
11/6/2016,711.5219727,0.000221334,5688710,3.88925004
11/7/2016,703.1309814,0.000239014,5992480,3.838870049
11/8/2016,709.8480225,0.000229345,6258150,3.842760086
11/9/2016,723.2730103,0.000229237,14606600,3.864609957
11/10/2016,715.5339966,0.000228178,4253980,3.824239969
11/11/2016,716.4110107,0.000226798,6056300,3.816009998
11/12/2016,705.0540161,0.000220255,10052500,3.763880014
11/13/2016,702.0310059,0.00022547,8227770,3.878000021
11/14/2016,705.0209961,0.00022317,3573250,3.87616992
11/15/2016,711.6190186,0.000221789,6557550,3.893589973
11/16/2016,744.197998,0.000221047,9533550,4.019480228
11/17/2016,740.9769897,0.000223726,6984700,3.943190098
11/18/2016,751.585022,0.000217725,10816100,3.961319923
11/19/2016,751.6160278,0.000220254,5186540,3.953799963
11/20/2016,731.026001,0.000218699,5173420,3.921940088
11/21/2016,739.2479858,0.000222126,3663210,3.944880009
11/22/2016,751.3469849,0.000224213,11284400,3.947309971
11/23/2016,744.5939941,0.000218521,4812310,3.92531991
11/24/2016,740.2890015,0.000218087,15987800,3.907690048
11/25/2016,741.6489868,0.000220455,7669720,3.915420055
11/26/2016,735.382019,0.000218781,3505990,3.894510031
11/27/2016,732.0349731,0.00021746,8707660,3.88293004
11/28/2016,735.8129883,0.000217786,6046890,3.884540081
11/29/2016,735.6040039,0.000216629,17000400,3.874550104
11/30/2016,745.690979,0.000214199,10626600,3.893790007
12/1/2016,756.7739868,0.000214374,5882340,3.909080029
